position,coverage_ACGT,error_rate_two_least_ACGT
1,3217,0.005595275
2,3287,0
3,3297,0.000606612
4,3308,0.006952842
5,3289,0.001824263
6,3311,0.000302024
7,3307,0.001511944
8,3302,0.003331314
9,3301,0.004241139
10,3273,0.013748854
11,3172,0.009457755
12,3305,0.002723147
13,3265,0.001225115
14,3201,0
15,3313,0.002112889
16,3294,0.004250152
17,3269,0.011930254
18,3168,0.003156566
19,3282,0.001828154
20,3305,0.009379728
21,3234,0.00401979
22,3237,0.00463392
23,3274,0.000610874
24,3284,0.00091352
25,3212,0.004047323
26,3204,0.001248439
27,3269,0.001223616
28,3282,0.00274223
29,3252,0.005227552
30,3246,0.005237215
31,3255,0.000614439
32,3279,0.005184507
33,3289,0.000912131
34,3245,0.01201849
35,3249,0.007694675
36,3248,0.004310345
37,3275,0.004580153
38,3290,0.015805471
39,3138,0.019757808
40,3277,0.005187672
41,3239,0.008953381
42,3085,0.010372771
43,3317,0.003617727
44,3249,0.002770083
45,3287,0.004563432
46,3287,0.003954974
47,3265,0.002143951
48,3318,0.000904159
49,3304,0.00090799
50,3315,0.002413273
51,3312,0.001811594
52,3291,0.004557885
53,3321,0.003312255
54,3317,0.001808863
55,3270,0.001223242
56,3316,0.003015682
57,3302,0.006359782
58,3291,0.00607718
59,3229,0.006503561
60,3308,0.000906892
61,3155,0.003803487
62,3181,0.002200566
63,3246,0.004929144
64,3198,0.00343965
65,3308,0.002720677
66,3271,0.002445735
67,3297,0.001213224
68,3296,0.00151699
69,3275,0.008854962
70,3178,0.00566394
71,3279,0.001524855
72,3258,0.003376304
73,3321,0.000602228
74,3285,0.000304414
75,3311,0.001510118
76,3317,0.000602954
77,3308,0.000302297
78,3309,0.001208824
79,3319,0.000301296
80,3302,0
81,3306,0.000907441
82,3318,0.001205546
83,3318,0.008137432
84,3307,0.013607499
85,3265,0.01194487
86,3254,0.003073141
87,3300,0.00030303
88,3317,0.000301477
89,3289,0.000912131
90,3321,0.001806685
91,3294,0.003035823
92,3291,0.004557885
93,3302,0.004542701
94,3266,0.000918555
95,3295,0.00091047
96,3319,0.000602591
97,3303,0.001513775
98,3261,0.000613309
99,3306,0.001512402
100,3305,0.002723147
101,3298,0.004851425
102,3252,0.005535055
103,3291,0.001215436
104,3312,0.004227053
105,3309,0.002719855
106,3282,0.004570384
107,3260,0.002453988
108,3319,0.009340163
109,3310,0.006042296
110,3284,0.006090134
111,3005,0.00266223
112,3288,0.001824818
113,3304,0.00090799
114,3291,0.001519295
115,3289,0.000912131
116,3310,0
117,3321,0.006624511
118,3315,0.001809955
119,3284,0.000304507
120,3301,0.000908816
121,3315,0.00331825
122,3252,0.004305043
123,3278,0.006711409
124,3299,0.001515611
125,3261,0.00275989
126,3319,0.008737572
127,3268,0.006425949
128,3294,0.007893139
129,3307,0
130,3283,0.019494365
131,3290,0.011550152
132,3100,0.008709677
133,3304,0.006658596
134,3284,0.003045067
135,3013,0.002323266
136,3234,0
137,3311,0.001510118
138,3300,0.000909091
139,3151,0.000952079
140,3315,0.000603318
141,3302,0.001817081
142,3308,0.000604595
143,3269,0.001223616
144,3265,0.005206738
145,3237,0.008341057
146,3304,0.003631961
147,3301,0.002726447
148,3303,0.000302755
149,3306,0.003327284
150,3317,0.001205909
151,3315,0.001809955
152,3308,0.004836759
153,3314,0.001508751
154,3316,0.003920386
155,3310,0.005438066
156,3274,0.003970678
157,3312,0.000603865
158,3310,0.002114804
159,3310,0.00060423
160,3295,0.001820941
161,3321,0
162,3320,0.000301205
163,3290,0.003951368
164,3311,0.008758683
165,3294,0.011839709
166,3268,0.0125459
167,3321,0.004516712
168,3321,0.001204456
169,3296,0.000910194
170,3319,0.000602591
171,3318,0.002109705
172,3317,0
173,3315,0.000301659
174,3293,0.000303674
175,3307,0.001209555
176,3296,0.006067961
177,3314,0.00090525
178,3321,0.000903342
179,3307,0.000907167
180,3305,0.000302572
181,3301,0.003029385
182,3300,0.004848485
183,3316,0.001206273
184,3304,0.001815981
185,3295,0.002731411
186,3284,0.001218027
187,3289,0.002128306
188,3298,0.009399636
189,3304,0.00968523
190,3298,0.021831413
191,3292,0.016099635
192,3258,0.015346839
193,3246,0.012014787
194,3303,0.001513775
195,3293,0.006377164
196,3287,0.008822635
197,3313,0.002716571
198,3292,0.003341434
199,3313,0.003320254
200,3302,0.003028468
201,3305,0.001815431
202,3303,0.001513775
203,3306,0.000907441
204,3314,0.001810501
205,3303,0.000908265
206,3309,0.001511031
207,3314,0.009957755
208,3273,0.010388023
209,3300,0.00969697
210,3294,0.011232544
211,3315,0.01025641
212,3307,0.006047777
213,3292,0.003948967
214,3309,0.004230885
215,3300,0.005151515
216,3314,0.010863005
217,3276,0.009157509
218,3272,0.008251834
219,3295,0.005159332
220,3307,0.006350166
221,3311,0.001208094
222,3295,0.00060698
223,3308,0.00362757
224,3303,0.002724796
225,3304,0.014830508
226,3308,0.00241838
227,3312,0.000603865
228,3310,0.006646526
229,3317,0.002411818
230,3287,0.001825373
231,3313,0.004225777
232,3312,0.005736715
233,3300,0.006060606
234,3310,0.004229607
235,3317,0.001205909
236,3315,0.002111614
237,3307,0.003326278
238,3314,0.003319252
239,3315,0.000603318
240,3316,0.002412545
241,3308,0.002720677
242,3298,0.000606428
243,3312,0.001509662
244,3303,0.004844081
245,3312,0.003321256
246,3313,0.001207365
247,3317,0.000904432
248,3310,0.006344411
249,3303,0.002724796
250,3306,0.013520871
251,3313,0.002716571
252,3314,0.004828002
253,3301,0.006967586
254,3293,0.004555117
255,3292,0.011846902
256,3307,0.003931055
257,3306,0.002419843
258,3305,0.00816944
259,3309,0.00695074
260,3299,0.003334344
261,3304,0.01059322
262,3294,0.014875531
263,3312,0.011775362
264,3294,0.017911354
265,3283,0.014620774
266,3287,0.01003955
267,3318,0.004219409
268,3309,0
269,3310,0.001812689
270,3315,0.00331825
271,3311,0.005738448
272,3306,0.002117362
273,3309,0.003626473
274,3306,0.000604961
275,3319,0.003314251
276,3305,0.011497731
277,3302,0.004542701
278,3303,0.002724796
279,3309,0.001511031
280,3301,0.00605877
281,3304,0.000605327
282,3310,0.003323263
283,3308,0.002116082
284,3304,0.003631961
285,3310,0.003927492
286,3311,0.001510118
287,3318,0.000904159
288,3316,0.003015682
289,3320,0.000903614
290,3312,0.003019324
291,3307,0.002419111
292,3309,0.005741916
293,3291,0.010027347
294,3307,0.002116722
295,3295,0.001820941
296,3307,0.003326278
297,3275,0.001832061
298,3313,0.000905524
299,3302,0.005754088
300,3313,0.00482946
301,3302,0.007571169
302,3282,0.009750152
303,3275,0.010381679
304,3305,0.004236006
305,3301,0.00212057
306,3309,0.003928679
307,3315,0.008748115
308,3308,0.005743652
309,3287,0.003650745
310,3298,0.003032141
311,3304,0.015435835
312,3298,0.005154639
313,3275,0.004274809
314,3276,0.015873016
315,3262,0.012568976
316,3299,0.008790543
317,3284,0.007917174
318,3304,0.009079903
319,3298,0.009096422
320,3280,0.017378049
321,3259,0.016876342
322,3277,0.010070186
323,3278,0.012507627
324,3252,0.006150062
325,3291,0.005469462
326,3284,0.004263094
327,3302,0.004542701
328,3293,0.004858791
329,3298,0.005457853
330,3295,0.015174507
331,3285,0.008828006
332,3300,0.005757576
333,3313,0.012677332
334,3305,0.011195159
335,3292,0.012150668
336,3288,0.007603406
337,3305,0.00484115
338,3293,0.009717583
339,3296,0.002730583
340,3309,0.00695074
341,3315,0.001809955
342,3274,0.001832621
343,3310,0.001812689
344,3304,0.004539952
345,3304,0.003631961
346,3299,0.00848742
347,3303,0.00181653
348,3287,0.005476118
349,3306,0.006654567
350,3291,0.005773321
351,3298,0.003032141
352,3288,0.009124088
353,3276,0.006715507
354,3304,0.003631961
355,3294,0.009714633
356,3298,0.005457853
357,3277,0.010070186
358,3267,0.009182736
359,3286,0.006086427
360,3320,0.005722892
361,3284,0.004872107
362,3302,0.003634161
363,3236,0.00618047
364,3305,0.000605144
365,3300,0.003333333
366,3276,0.007631258
367,3316,0.001809409
368,3310,0.000302115
369,3318,0.00331525
370,3312,0.002113527
371,3314,0.001810501
372,3316,0.000603136
373,3318,0.001808318
374,3317,0.007838408
