position,coverage_ACGT,error_rate_two_least_ACGT
1,3235,0.009891808
2,3280,0.000914634
3,3297,0.000606612
4,3320,0.007228916
5,3302,0.000605694
6,3320,0.000301205
7,3322,0.002107164
8,3313,0.002716571
9,3318,0.005726341
10,3276,0.011294261
11,3162,0.009803922
12,3323,0.003310262
13,3280,0.002439024
14,3212,0.000622665
15,3323,0.001203732
16,3310,0.005135952
17,3286,0.009129641
18,3196,0.003128911
19,3290,0.000303951
20,3315,0.013273002
21,3252,0.006150062
22,3273,0.003055301
23,3289,0.000608088
24,3308,0.000906892
25,3238,0.003088326
26,3237,0.00154464
27,3289,0.001520219
28,3290,0.003039514
29,3268,0.006731946
30,3238,0.002470661
31,3268,0.000611995
32,3274,0.001832621
33,3300,0.001212121
34,3270,0.011620795
35,3252,0.00799508
36,3255,0.004608295
37,3282,0.006093845
38,3293,0.014880049
39,3121,0.021467478
40,3275,0.003969466
41,3251,0.010765918
42,3052,0.010484928
43,3328,0.003605769
44,3272,0.005501222
45,3276,0.003663004
46,3288,0.004257908
47,3259,0.002454741
48,3322,0.001204094
49,3299,0.001515611
50,3326,0.003607937
51,3323,0.00210653
52,3290,0.003343465
53,3331,0.002401681
54,3326,0.002405292
55,3291,0.000607718
56,3330,0.002702703
57,3315,0.006033183
58,3305,0.005748865
59,3239,0.004631059
60,3315,0.001809955
61,3179,0.004089336
62,3209,0.001869741
63,3258,0.005217925
64,3204,0.005305868
65,3315,0.000603318
66,3276,0.002442002
67,3302,0.000302847
68,3307,0.000604778
69,3270,0.013761468
70,3139,0.006690029
71,3295,0.002124431
72,3255,0.002764977
73,3329,0
74,3298,0.000909642
75,3316,0.000603136
76,3329,0
77,3321,0.000301114
78,3315,0.000904977
79,3322,0.00090307
80,3304,0.002421308
81,3319,0.001506478
82,3326,0.001202646
83,3326,0.008719182
84,3309,0.014808099
85,3249,0.008618036
86,3258,0.002455494
87,3307,0.000604778
88,3313,0.000301841
89,3282,0.002437538
90,3331,0.003002101
91,3296,0.004550971
92,3279,0.002744739
93,3304,0.004539952
94,3267,0.001530456
95,3295,0.00060698
96,3329,0.000600781
97,3314,0.0006035
98,3277,0.001525786
99,3313,0.001509206
100,3310,0.005740181
101,3308,0.005441354
102,3270,0.004892966
103,3303,0.00060551
104,3308,0.003325272
105,3312,0.000905797
106,3289,0.005776832
107,3269,0.001835424
108,3327,0.009918846
109,3318,0.004219409
110,3288,0.00243309
111,2988,0.002677376
112,3301,0.002726447
113,3314,0.0006035
114,3296,0.00151699
115,3290,0.000911854
116,3326,0.001202646
117,3330,0.007507508
118,3320,0.002409639
119,3293,0
120,3314,0.00090525
121,3319,0.004519434
122,3272,0.00794621
123,3282,0.006093845
124,3310,0.001208459
125,3246,0.001848429
126,3322,0.01384708
127,3256,0.009213759
128,3296,0.009101942
129,3313,0.001207365
130,3281,0.020725389
131,3282,0.008226691
132,3119,0.008656621
133,3311,0.007248565
134,3284,0.003958587
135,3013,0.002323266
136,3234,0.001236858
137,3324,0.002105897
138,3297,0.000909918
139,3164,0.000632111
140,3324,0.000601685
141,3304,0.002421308
142,3319,0.002410365
143,3274,0.001832621
144,3272,0.004889976
145,3255,0.007373272
146,3309,0.002417649
147,3313,0.003018412
148,3315,0.000603318
149,3316,0.000301568
150,3325,0.000601504
151,3320,0.002108434
152,3318,0.006931887
153,3314,0.00090525
154,3324,0.004512635
155,3314,0.005733253
156,3280,0.003963415
157,3320,0.001204819
158,3319,0.003314251
159,3318,0.000301386
160,3305,0.000907716
161,3331,0.00060042
162,3326,0.001503307
163,3306,0.002722323
164,3322,0.009933775
165,3307,0.013002721
166,3277,0.010985658
167,3330,0.003003003
168,3329,0.000300391
169,3301,0.001211754
170,3328,0
171,3331,0.001200841
172,3329,0.000300391
173,3328,0.000300481
174,3304,0.001210654
175,3316,0.002714113
176,3306,0.001814882
177,3314,0.001508751
178,3331,0.00030021
179,3315,0.000904977
180,3306,0.001512402
181,3311,0.002114165
182,3304,0.003934625
183,3321,0.000602228
184,3302,0.00090854
185,3302,0.003331314
186,3290,0.00212766
187,3304,0.001513317
188,3313,0.013281014
189,3311,0.012080942
