position,coverage_ACGT,error_rate_two_least_ACGT
1,3268,0.007343941
2,3349,0.001492983
3,3374,0
4,3381,0.006802721
5,3369,0.000890472
6,3385,0.000590842
7,3384,0
8,3381,0.003845016
9,3376,0.011255924
10,3337,0.011687144
11,3199,0.007814942
12,3382,0.003252513
13,3323,0.001504664
14,3268,0.00122399
15,3391,0.001179593
16,3374,0.004149378
17,3354,0.008944544
18,3244,0.001233046
19,3366,0.000297089
20,3384,0.011524823
21,3336,0.003597122
22,3340,0.004790419
23,3348,0.001194743
24,3363,0.001189414
25,3326,0.00420926
26,3320,0.000903614
27,3352,0.002088305
28,3358,0.003275759
29,3336,0.004796163
30,3307,0.004838222
31,3338,0.001797484
32,3343,0.001495663
33,3351,0.001193674
34,3328,0.015324519
35,3326,0.006614552
36,3333,0.00660066
37,3333,0.00720072
38,3374,0.015708358
39,3194,0.023481528
40,3350,0.005671642
41,3323,0.012639181
42,3116,0.010269576
43,3391,0.00678266
44,3330,0.005405405
45,3352,0.00477327
46,3365,0.006240713
47,3335,0.002098951
48,3391,0
49,3375,0.00237037
50,3390,0.003834808
51,3385,0.002363368
52,3352,0.004176611
53,3397,0.003532529
54,3392,0.001768868
55,3355,0.00119225
56,3394,0.003241014
57,3380,0.006213018
58,3371,0.006822901
59,3297,0.006672733
60,3387,0.00088574
61,3226,0.003409795
62,3264,0.00245098
63,3316,0.005126659
64,3253,0.003996311
65,3386,0.001476669
66,3338,0.001198322
67,3362,0.001189768
68,3365,0.000297177
69,3341,0.011972463
70,3212,0.005292653
71,3337,0.002097693
72,3325,0.001804511
73,3398,0.000588582
74,3358,0.000595593
75,3383,0.001477978
76,3396,0.000294464
77,3385,0.001181684
78,3377,0.002072846
79,3388,0.000885478
80,3372,0.00118624
81,3385,0
82,3392,0.001179245
83,3396,0.006772674
84,3377,0.014806041
85,3316,0.010554885
86,3329,0.002403124
87,3369,0
88,3385,0.000886263
89,3341,0.00179587
90,3395,0.001767305
91,3360,0.004166667
92,3344,0.004186603
93,3367,0.004455004
94,3333,0.00060006
95,3360,0.000297619
96,3398,0.000294291
97,3389,0.001475361
98,3339,0.000299491
99,3383,0.000886787
100,3382,0.005322295
101,3380,0.003550296
102,3327,0.004508566
103,3371,0.000296648
104,3385,0.003249631
105,3382,0.000887049
106,3356,0.004171633
107,3340,0.001796407
108,3394,0.010606953
109,3382,0.005322295
110,3349,0.005971932
111,3046,0.002626395
112,3359,0.001786246
113,3381,0.000887311
114,3373,0.00148236
115,3361,0.00029753
116,3387,0.000590493
117,3396,0.005300353
118,3388,0.000590319
119,3357,0.000297885
120,3386,0.001181335
121,3388,0.003246753
122,3328,0.007211538
123,3359,0.004763322
124,3376,0.004146919
125,3335,0.003598201
126,3391,0.010616337
127,3330,0.008708709
128,3366,0.005347594
129,3390,0.000589971
130,3352,0.020584726
131,3350,0.011343284
132,3146,0.009853783
133,3382,0.005322295
134,3353,0.002684163
135,3077,0.001299968
136,3304,0.000302663
137,3389,0.001475361
138,3368,0.000890736
139,3223,0.00093081
140,3386,0.000590667
141,3367,0.001485001
142,3371,0.001186592
143,3330,0.002102102
144,3342,0.005086774
145,3308,0.006348247
146,3384,0.005319149
147,3381,0.002661934
148,3366,0.000594177
149,3371,0.001186592
150,3392,0.000294811
151,3384,0.001477541
152,3380,0.00739645
153,3381,0.00029577
154,3392,0.003832547
155,3385,0.006499261
156,3360,0.005357143
157,3388,0.001180638
158,3383,0.00472953
159,3380,0
160,3367,0.001782002
161,3395,0.000589102
162,3391,0.000589797
163,3376,0.003554502
164,3389,0.010622603
165,3367,0.012177012
166,3341,0.013469021
167,3397,0.002649397
168,3397,0.000294377
169,3373,0.000592944
170,3396,0.000294464
171,3396,0.000588928
172,3396,0.000294464
173,3395,0
174,3373,0
175,3392,0.002948113
176,3377,0.004145691
177,3388,0.000885478
178,3396,0.000294464
179,3386,0
180,3372,0.00059312
181,3369,0.002671416
182,3362,0.00297442
183,3386,0.000295334
184,3371,0.000889944
185,3367,0.002376002
186,3352,0.001789976
187,3368,0.002672209
188,3367,0.008316008
189,3377,0.011548712
190,3376,0.022808057
191,3363,0.019030627
192,3336,0.016486811
193,3320,0.00813253
194,3377,0.002961208
195,3356,0.00476758
196,3358,0.011018463
197,3391,0.00501327
198,3365,0.002971768
199,3382,0.003843879
200,3388,0.002361275
201,3376,0.000888626
202,3383,0.001477978
203,3390,0.001179941
204,3391,0.002064288
205,3384,0.000886525
206,3388,0.001475797
207,3394,0.008839128
208,3366,0.010992276
209,3377,0.007995262
210,3360,0.011904762
211,3385,0.010339734
212,3381,0.004140787
213,3366,0.005050505
214,3380,0.00591716
215,3372,0.005338078
