,sums
0,0.00017405085033000327
1,7.328456856000403e-05
2,3.2061998745001764e-05
3,0.00011908742391000655
4,7.328456856000403e-05
5,0.00010992685284000604
6,0.00011908742391000655
7,0.0003068791308450043
8,0.000123667709445001
9,5.9543711955003275e-05
10,0.00010992685284000604
11,0.0001328282805150073
12,0.00037100312833500003
13,0.0001328282805150073
14,0.00016489027926000304
15,0.00014656913712000202
16,6.870428302500378e-05
17,0.00014198885158500782
18,0.00018779170693501035
19,0.0001328282805150073
20,0.00019237199247000404
21,0.000288557988705
22,0.00010992685284000604
23,0.00011908742391000656
24,0.00010534656730500579
25,0.00020611284907500529
26,0.0001145071383750063
27,0.00014198885158500782
28,8.70254251650048e-05
29,6.870428302500378e-05
30,0.00016947056479500933
31,0.00015572970819000302
32,8.702542516500478e-05
33,0.00021985370568000277
34,0.00022443399121500126
35,0.00010534656730500579
36,0.00016030999372500227
37,0.00011908742391000655
38,0.000306879130845002
39,0.00015114942265500832
40,0.00014656913712000227
41,9.160571070000503e-05
42,0.0001328282805150073
43,0.0003160397019150015
44,0.0001328282805150073
45,0.00011908742391000655
46,0.00013740856605000756
47,0.000480929981175
48,0.00012824799498000706
49,0.00028855798870500377
50,0.00013740856605000125
51,0.0001419888515850015
52,0.00020611284907500529
53,9.61859962350053e-05
54,0.00022901427675000002
55,0.00010992685284000604
56,0.00017863113586500328
57,0.00016030999372500883
58,5.496342642000302e-05
59,0.00015114942265500832
60,0.00020611284907500453
61,8.702542516500478e-05
62,0.00018321142140000126
63,0.00010992685284000604
64,0.00015114942265500832
65,0.00021985370568000328
66,0.00018321142140000153
67,0.00012824799498000706
68,6.412399749000353e-05
69,4.1222569815002263e-05
70,6.870428302500378e-05
71,0.00018779170693500254
72,0.00016489027926000905
73,0.00023359456228500328
74,0.00011908742391000655
75,9.160571070000505e-05
76,0.0001145071383750063
77,0.00024275513335500455
78,0.0001328282805150073
79,9.160571070000505e-05
80,0.0002656565610300053
81,0.00011908742391000655
82,0.00020153256354
83,9.160571070000505e-05
84,6.870428302500378e-05
85,0.00011908742391000655
86,0.00010992685284000604
87,9.160571070000503e-05
88,0.00017863113586500984
89,0.0002610762754950043
90,0.00043970741136000407
91,0.00026565656103000475
92,0.0002152734201450048
93,0.00030229884531000526
94,0.0002793974176350002
95,0.00010534656730500579
96,7.786485409500427e-05
97,0.00017405085033000178
98,0.0002564959899600025
99,0.00019695227800500305
100,0.0002061128490750048
101,0.00045802855350000427
102,0.000279397417635001
103,0.000380163699405002
104,0.00015572970819000226
105,0.00034810170066
106,0.0001236677094450068
107,0.000600017405085
108,0.000673301973645
109,0.00046718912457000374
110,0.00038474398494
111,0.00015572970819000857
112,0.0013603448038950038
113,0.00029771855977500503
114,0.0001236677094450068
115,0.0002519157044250048
116,0.0004351271258250053
117,0.0001328282805150073
118,0.00012824799498000706
119,0.00026565656103000177
120,8.244513963000453e-05
121,0.00023359456228500477
122,0.00020153256354000455
123,0.00010992685284000604
124,0.00010992685284000604
125,0.00016947056479500933
126,0.0001328282805150073
127,0.0002702368465650018
128,0.000902316250395
129,0.00016489027926000352
130,0.0006549808315050031
131,0.00025191570442500505
132,0.00044886798243
133,0.00083361196737
134,0.00053131312206
135,0.00016489027926000152
136,0.00014198885158500025
137,0.000453448267965
138,0.00030687913084500505
139,0.00044886798243
140,0.000242755133355
141,0.0006870428302500001
142,0.00041222569815000006
143,9.160571070000505e-05
144,0.00011908742391000655
145,0.00021527342014500379
146,0.00010992685284000604
147,0.00022901427675000452
148,0.00063207940383
149,2.2901427675001255e-05
150,4.1222569815002263e-05
151,3.2061998745001764e-05
152,0.0001145071383750063
153,5.038314088500277e-05
154,0.00017405085033000227
155,8.702542516500478e-05
156,8.702542516500478e-05
157,0.00012824799498000706
158,0.00010076628177000554
159,4.580285535000252e-05
160,0.00015114942265500832
161,5.9543711955003275e-05
162,9.160571070000505e-05
163,4.1222569815002263e-05
164,2.748171321000151e-05
165,5.496342642000303e-05
166,0.000151149422655002
167,4.5802855350002516e-05
168,9.618599623500529e-05
169,6.870428302500378e-05
170,0.00010534656730500579
171,0.00010992685284000604
172,0.00020153256354000376
173,0.0001419888515850015
174,4.5802855350002516e-05
175,0.00012824799498000706
176,0.00021069313461000454
177,0.0007923893975550038
178,0.0180051024380859
179,0.010969783856325499
180,0.002038227063075
181,0.0044611981110901
182,0.004960449234405201
183,0.000462608839035
184,0.00085193310951
185,0.0079467954032254
186,0.00018779170693501035
187,0.00103514453091
188,0.000352681986195
189,0.00198784392219
190,0.0095361544838704
191,0.0005542145497350045
192,0.00058627654848
193,0.0062429291842052
194,0.00047634969564000425
195,0.0032382618732450996
196,0.00060459769062
197,0.0007603273988100001
198,0.00017863113586500328
199,0.00145653080013
200,0.0002793974176350025
201,0.0056887146344701996
202,0.0017405085032999998
203,0.00216189477252
204,0.000407645412615
205,0.000700783686855
206,0.0040306512708002
207,0.0207853357578311
208,0.0125179203671556
209,0.0023634273360601
210,0.00113591081268
211,0.00044428769689500375
212,0.0062429291842053
213,0.00249167533104
214,0.00026565656103
215,0.00044428769689499996
216,0.001781731073115
217,0.000774068255415
218,0.00225350048322
219,0.000883995108255
220,0.00079696968309
221,0.004777237813005201
222,0.0038382792783301003
223,0.00077864854095
224,0.0052856495073902
225,0.0009068965359300001
226,0.001589359080645
227,0.0064536223188153
228,0.0046260883903502
229,0.0025924416128101
230,0.0042138626922001
231,0.00105346567305
232,0.0003297805585200043
233,0.0051390803702702
234,0.000503831408850002
235,0.006829205732685299
236,0.0054047369313002
237,0.0027893938908151
238,0.000517572265455
239,0.0031695575902201
240,0.00022901427675000002
241,0.00038932427047499996
242,0.00024733541889
243,0.0065040054597003
244,0.0029497038845400997
245,0.0043787529714601
246,0.0116568266865756
247,0.018774590407965898
248,0.0020840299184251
249,0.00017863113586500404
250,0.0083910831001204
251,0.0031191744493351
252,0.00018779170693500427
253,0.0043466909727152
254,0.0028672587449101003
