,sums
0,0.00023067599796691512
1,9.774406693513704e-05
2,0.00011338311764475897
3,0.00013293193103178637
4,7.819525354810962e-05
5,0.00010556359228994801
6,0.0001759393204831877
7,0.0002775931500957206
8,0.00012511240567697542
9,5.473667748367674e-05
10,0.00013293193103178637
11,7.819525354810962e-05
12,0.0005630058255463
13,0.00011338311764475897
14,0.0002580443367087261
15,0.00014857098174134934
16,9.383430425773155e-05
17,9.383430425773155e-05
18,0.00020330765922502058
19,0.00012511240567697542
20,0.00019157837119278224
21,0.00016421003245103023
22,9.383430425773155e-05
23,0.00010947335496735348
24,0.00011729288032216444
25,0.00026977362474090414
26,0.00013684169370919186
27,0.000105563592289948
28,0.00010947335496735348
29,9.383430425773155e-05
30,0.00017593932048320417
31,0.00013684169370919186
32,7.819525354810962e-05
33,0.0001915783711928206
34,0.00025413457403131515
35,0.00010947335496735348
36,0.00011729288032216445
37,9.774406693513704e-05
38,0.00017202955780582193
39,0.00012511240567697542
40,0.0001759393204831932
41,8.992454158032607e-05
42,0.00014857098174140832
43,0.0002541345740313438
44,0.00011729288032216445
45,0.00010165382961254252
46,0.0001681197951284357
47,0.00039097626774050004
48,7.819525354810962e-05
49,0.0003049614888375932
50,0.0001798490831606274
51,0.00013293193103178637
52,0.00016421003245098773
53,0.000105563592289948
54,0.00021503694725721512
55,0.00011338311764475896
56,0.00015639050709621925
57,0.00020330765922500413
58,3.909762677405481e-05
59,0.00033232982757944385
60,0.00013684169370919186
61,0.00010165382961254253
62,0.00012511240567692194
63,0.0001485709817414083
64,0.00012511240567697542
65,0.00023849552332170962
66,0.0012081166673182273
67,0.00013684169370919186
68,8.60147789029206e-05
69,5.0826914806271267e-05
70,7.037572819329867e-05
71,0.00019939789654759867
72,0.00016030026977362476
73,0.00019157837119278224
74,0.00021894670993463837
75,8.60147789029206e-05
76,0.00012902216835438088
77,0.00023067599796680003
78,8.992454158032608e-05
79,6.255620283848771e-05
80,0.0003245103022245
81,8.60147789029206e-05
82,0.00014075145638659735
83,7.037572819329867e-05
84,0.00012120264299956993
85,0.0005395472494819151
86,0.0001016538296125425
87,8.60147789029206e-05
88,9.383430425773155e-05
89,0.00017202955780577675
90,0.0009109747038354041
91,0.00019157837119284933
92,0.00022676623528947125
93,0.0003010517261602
94,0.00029323220080534933
95,7.819525354810962e-05
96,7.819525354810962e-05
97,0.0002619540993861206
98,0.00025804433670874934
99,0.00014466121906392193
100,0.00032060053954723706
101,0.0004965398600304
102,0.00025413457403131645
103,0.00046135199593377673
104,0.00016811979512837674
105,0.0002815029127730987
106,0.00012120264299956993
107,0.0004183446064823
108,0.0007819525354810001
109,0.0004691715212885823
110,0.0004066153184501
111,0.0002111271845798
112,0.0010986433123508933
113,0.0002228564726121096
114,7.037572819329867e-05
115,0.00020330765922503704
116,0.0003518786409664932
117,0.00012120264299956993
118,0.00016030026977357673
119,0.0002775931500957055
120,8.992454158032607e-05
121,0.0002580443367087151
122,0.00019157837119280414
123,0.0001681197951283932
124,9.774406693513704e-05
125,0.00018375884583801512
126,0.00018375884583797126
127,0.00018375884583801094
128,0.0008484185009969001
129,0.00012902216835438088
130,0.0005669155882237768
131,0.00025022481135388225
132,0.0003596981663212096
133,0.0006998475192555
134,0.0004378934198693
135,0.00019157837119277674
136,0.00014857098174134934
137,0.00035969816632119996
138,0.0003245103022245987
139,0.0004652617586112
140,0.00019939789654763157
141,0.0008405989756421
142,0.0004769910466434
143,9.774406693513704e-05
144,0.00010556359228994801
145,0.00028932243812793704
146,0.00012511240567697542
147,0.00017984908316065216
148,0.0006021034523203
149,0.00018375884583801645
150,6.646596551589318e-05
151,3.1278101419243854e-05
152,7.037572819329867e-05
153,6.25562028384877e-05
154,0.0002189467099346261
155,0.00010165382961254252
156,9.383430425773155e-05
157,8.60147789029206e-05
158,8.992454158032608e-05
159,5.864644016108222e-05
160,0.00016421003245096577
161,8.601477890292059e-05
162,0.0001485709817414083
163,5.864644016108222e-05
164,7.037572819329867e-05
165,6.255620283848771e-05
166,0.00014857098174132742
167,2.345857606443289e-05
168,0.00013293193103178637
169,8.992454158032608e-05
170,0.00011338311764475897
171,0.00012511240567697542
172,0.00019157837119277674
173,0.0001954881338702658
174,7.037572819329867e-05
175,7.819525354810962e-05
176,0.00010165382961254252
177,0.0007154865699651878
178,0.018309418618289802
179,0.0109864331235093
180,0.0017711224928645998
181,0.0047620909410798
182,0.0054853970363998
183,0.0005043593853852
184,0.00072330609532
185,0.008597568127614601
186,0.00021894670993463704
187,0.0010048090080931
188,0.0003636079289986
189,0.0021230011338311
190,0.0103295929937052
191,0.0005434570121593
192,0.0006099229776751
193,0.005747351135786
194,0.0005199984360948
195,0.0030339758376665
196,0.0006646596551588
197,0.0009227039918676
198,0.00027759315009560004
199,0.001524807444188
200,0.0003127810141923932
201,0.0061539664542362
202,0.0017163858153809
203,0.0021933768620244
204,0.00038315674238573703
205,0.0006881182312233
206,0.0038120186104702997
207,0.0204167807014113
